year,hhi,hhi_norm,unique_winners,n_teams,total_events
2023,0.2899408284023669,0.22538999462076392,7,12,13
2024,0.23076923076923084,0.1666666666666667,7,13,13
2025,0.23668639053254442,0.1730769230769231,6,13,13
