team,year,events,wins,podiums,avg_rank,avg_score,best_rank,worst_rank,win_rate,podium_rate,est_sg_total_mean,est_sg_total_std,est_sg_total_min,est_sg_total_max,est_sg_ott_mean,est_sg_ott_std,est_sg_ott_min,est_sg_ott_max,est_sg_app_mean,est_sg_app_std,est_sg_app_min,est_sg_app_max,est_sg_atg_mean,est_sg_atg_std,est_sg_atg_min,est_sg_atg_max,est_sg_putt_mean,est_sg_putt_std,est_sg_putt_min,est_sg_putt_max,star_index,roster_size,win_tier
Fireballs GC,2024,13,1,5,4.69,-19.15,1,11,0.077,0.385,0.37367060075,0.26071264809758915,-0.047676127,0.6672499,0.2530563,0.06359113733854309,0.19623113,0.3545098,0.007556500000000008,0.19392807242964555,-0.18568711,0.2675093,0.05563691942500001,0.10734566411436576,-0.09659799,0.16591598,0.056214657499999994,0.08324653332695013,-0.05860492,0.17282592,0.2935792992499999,4.0,1–2 wins
Fireballs GC,2025,13,3,6,4.69,-13.85,1,12,0.231,0.462,0.22697036999999998,0.10870096739524537,0.14834881,0.38068324,0.2993798366666667,0.12678635565851407,0.20944427,0.47868252,-0.013406931333333332,0.0628300482951393,-0.061170034,0.0753625,-0.03289435033333333,0.06924964138163832,-0.099140346,0.0626936,0.010965062,0.07505928659424527,-0.09477624,0.071893476,0.15371287,3.0,3+ wins
Fireballs GC,2026,2,0,0,5.5,-15.0,4,7,0.0,0.0,0.19867377,0.1426958696634245,0.065094315,0.43754444,0.046624655,0.23098607710915978,-0.31622013,0.3253715,0.3471006525,0.11936356669270494,0.14091378,0.42820215,-0.0057822104999999974,0.0864593855178925,-0.11510685,0.11234518,-0.155681004,0.14767497873485408,-0.32779825,0.055585284,0.23887066999999998,4.0,0 wins
HyFlyers GC,2023,13,0,2,7.0,-8.77,3,10,0.0,0.154,0.09540691,0.3982466413237218,-0.30682808,0.5549398,0.08985358975,0.12545615266870314,-0.013276774,0.3025193,0.113492396675,0.14294224582505352,-0.033809133,0.31830844,-0.021609047999999995,0.10069291501273912,-0.12801035,0.09527256,-0.0340932125,0.2028425724123529,-0.23243202,0.30466217,0.45953288999999997,4.0,0 wins
HyFlyers GC,2024,13,0,1,9.23,-6.92,2,13,0.0,0.077,-0.028754002500000014,0.40278684267421005,-0.545672,0.46657982,0.11919531575,0.11483068091476793,-0.004166753,0.27839646,-0.039995813000000005,0.11380224366009477,-0.17816702,0.13681974,-0.08094921,0.06449245499538762,-0.15768999,0.020437784,0.018160403749999998,0.12719000283312626,-0.13926463,0.19258212,0.4953338225,4.0,0 wins
HyFlyers GC,2025,13,0,1,7.77,-6.38,3,12,0.0,0.077,0.09186710249999998,0.2797182130508791,-0.3479321,0.4201684,0.09977702499999999,0.12904364997590248,-0.067158535,0.27360806,-0.10246300975,0.19748568802127506,-0.41164768,0.086288534,-0.025053528375,0.07828186387064688,-0.10908906,0.09438263,0.102328045,0.14490511952708202,-0.14601323,0.20677343,0.32830129750000003,4.0,0 wins
HyFlyers GC,2026,2,0,0,10.0,-7.0,6,14,0.0,0.0,0.06945832000000003,0.339866633215073,-0.33816132,0.4958511,-0.299388698,0.17754450843559644,-0.53406334,-0.08370108,0.187787076,0.2716993454153914,-0.2431256,0.47824064,0.1229766108,0.07736017854930405,0.054115653,0.23440082,0.10980954000000001,0.25987367157435703,-0.2306792,0.52913225,0.42639277999999997,5.0,0 wins
Korean Golf Club,2022,5,0,1,7.0,1.2,3,8,0.0,0.2,-0.648312382,0.7622235351662613,-2.1488924,-0.09861547,-0.287757926,0.4878801593666317,-1.2082326,0.25524333,-0.25728705879999997,0.1528956333614976,-0.4600387,0.004509936,-0.061749579799999996,0.11966600431487494,-0.26069883,0.05270713,-0.06486357400000002,0.4417884388676176,-0.63103133,0.31669652,0.5496969119999999,5.0,0 wins
Korean Golf Club,2023,13,0,1,10.23,1.69,3,12,0.0,0.077,-0.30900257375,0.7700243996396625,-1.6207058,0.3347265,-0.04778069500000001,0.31573606619380035,-0.584756,0.19008172,-0.210989951,0.2577586097179448,-0.65419936,-0.031291384,-0.03277364525,0.05014989132613435,-0.11252366,0.025095457,0.05293644525000001,0.1523271646581547,-0.12877816,0.28097406,0.64372907375,4.0,0 wins
Korean Golf Club,2024,13,0,0,9.62,-5.62,6,13,0.0,0.0,-0.023319602000000002,0.21464340492505238,-0.23024203,0.30637786,-0.004495066000000001,0.03657257553512274,-0.04612115,0.035013665,-0.1325436615,0.07355804489644341,-0.251806,-0.063005276,-0.007982634499999999,0.033563179726943136,-0.056990616,0.027212784,0.131837994525,0.09434912880612542,0.0021547081,0.26433417,0.329697462,4.0,0 wins
